DD Field,Source Field,Field Description,Resource
ITSO_OfficeApartmentArea,Property: OfficeApartmentArea,Office Apartment Area,Property
ITSO_OfficeApartmentAreaUnits,Property: OfficeApartmentAreaUnits,Office Apartment Area Units,Property
ITSO_OfficialPlan,Property: OfficialPlan,Official Plan,Property
ITSO_OpenHouseCount,Property: OpenHouseCount,Open House Count,Property
ITSO_OpenHousePublicCount,Property: OpenHousePublicCount,Open House Public Count,Property
ITSO_OpenHousePublicUpcoming,Property: OpenHousePublicUpcoming,Open House Public Upcoming,Property
ITSO_OpenHouseUpcoming,Property: OpenHouseUpcoming,Open House Upcoming,Property
ITSO_OtherIncome,Property: OtherIncome,Other Income,Property
ITSO_POTLYN,Property: POTLYN,POTLYN,Property
ITSO_ParcelNumber2,Property: ParcelNumber2,Parcel Number 2,Property
ITSO_ParkingAssignedSpace,Property: ParkingAssignedSpace,Parking Assigned Space,Property
ITSO_ParkingCost,Property: ParkingCost,Parking Cost,Property
ITSO_ParkingNumberDedicatedSpaces,Property: ParkingNumberDedicatedSpaces,Parking Number Dedicated Spaces,Property
ITSO_ParkingNumberOffSite,Property: ParkingNumberOffSite,Parking Number Off Site,Property
ITSO_ParkingNumberOnSite,Property: ParkingNumberOnSite,Parking Number On Site,Property
ITSO_ParkingNumberSharedSpaces,Property: ParkingNumberSharedSpaces,Parking Number Shared Spaces,Property
ITSO_ParkingSpacesTrailer,Property: ParkingSpacesTrailer,Parking Spaces Trailer,Property
ITSO_PercentageRent,Property: PercentageRent,Percentage Rent,Property
ITSO_PhotoServiceYN,Property: PhotoServiceYN,Photo Service YN,Property
ITSO_PortionOfPropertyComments,Property: PortionOfPropertyComments,Portion Of Property Comments,Property
ITSO_PortionOfPropertyForLease,Property: PortionOfPropertyForLease,Portion Of Property For Lease,Property
ITSO_PowerProductionCount,Property: PowerProductionCount,Power Production Count,Property
ITSO_PreviousPhotosCount,Property: PreviousPhotosCount,Previous Photos Count,Property
ITSO_PriceMeasurement,Property: PriceMeasurement,Price Measurement,Property
ITSO_PriceMeasurementType,Property: PriceMeasurementType,Price Measurement Type,Property
ITSO_PricePerAcre,Property: PricePerAcre,Price Per Acre,Property
ITSO_PropertyAttached,PropertyAttached,Property Attached,Property
ITSO_PropertyManagementCompany,Property: PropertyManagementCompany,Property Management Company,Property
ITSO_PropertyManagementContact,Property: PropertyManagementContact,Property Management Contact,Property
ITSO_PropertyManagementPhone,Property: PropertyManagementPhone,Property Management Phone,Property
ITSO_RATIO_CurrentPrice_By_AboveGradeFinishedArea,Property: RATIO_CurrentPrice_By_AboveGradeFinishedArea,RATIO Current Price By Above Gra,Property
ITSO_Rail,Property: Rail,Rail,Property
ITSO_RemainingTermsOfLease,Property: RemainingTermsOfLease,Remaining Terms Of Lease,Property
ITSO_RentRegistered,Property: RentRegistered,Rent Registered,Property
ITSO_RentedEquipment,Property: RentedEquipment,Rented Equipment,Property
ITSO_Restrictions,Property: Restrictions,Restrictions,Property
ITSO_RetailArea,Property: RetailArea,Retail Area,Property
ITSO_RetailAreaUnits,Property: RetailAreaUnits,Retail Area Units,Property
ITSO_RoadAccessFee,Property: RoadAccessFee,Road Access Fee,Property
ITSO_SaleRemarks,Property: SaleRemarks,Sale Remarks,Property
ITSO_SalesBrochureURL,Property: SalesBrochureURL,Sales Brochure URL,Property
ITSO_SendToDDFYN,Property: SendToDDFYN,Send To DDFYN,Property
ITSO_SendToDataShareYN,Property: SendToDataShareYN,Send To Data Share YN,Property
ITSO_SendToRealtorYN,Property: SendToRealtorYN,Send To Realtor YN,Property
ITSO_Shoreline,Property: Shoreline,Shoreline,Property
ITSO_ShorelineRoadAllowance,Property: ShorelineRoadAllowance,Shoreline Road Allowance,Property
ITSO_SnowGarbageExpense,Property: SnowGarbageExpense,Snow Garbage Expense,Property
ITSO_SoilTest,Property: SoilTest,Soil Test,Property
ITSO_SoilType,Property: SoilType,Soil Type,Property
ITSO_SqFtApproxAboveGrade,Property: SqFtApproxAboveGrade,Sq Ft Approx Above Grade,Property
ITSO_SqFtApproxBelowGrade,Property: SqFtApproxBelowGrade,Sq Ft Approx Below Grade,Property
ITSO_SqFtApproxFinishedTotal,Property: SqFtApproxFinishedTotal,Sq Ft Approx Finished Total,Property
ITSO_SqFtApproxUnfinishedTotal,Property: SqFtApproxUnfinishedTotal,Sq Ft Approx Unfinished Total,Property
ITSO_SqFtOverrideYN,Property: SqFtOverrideYN,Sq Ft Override YN,Property
ITSO_SqftBuildingTotal,Property: SqftBuildingTotal,Sqft Building Total,Property
ITSO_SqftMaximumContiguous,Property: SqftMaximumContiguous,Sqft Maximum Contiguous,Property
ITSO_SqftMinimumDivisible,Property: SqftMinimumDivisible,Sqft Minimum Divisible,Property
ITSO_StaffRemarks,Property: StaffRemarks,Staff Remarks,Property
ITSO_StatusContractualSearchDate,Property: StatusContractualSearchDate,Status Contractual Search Date,Property
ITSO_StreetViewParam,Property: StreetViewParam,Street View Param,Property
ITSO_SubLeaseDate,Property: SubLeaseDate,Sub Lease Date,Property
ITSO_SubleaseYN,Property: SubleaseYN,Sublease YN,Property
ITSO_SuppressSalesPriceYN,Property: SuppressSalesPriceYN,Suppress Sales Price YN,Property
ITSO_Survey,Property: Survey,Survey,Property
ITSO_SurveyType,Property: SurveyType,Survey Type,Property
ITSO_SurveyYear,Property: SurveyYear,Survey Year,Property
ITSO_TMIExpenses,Property: TMIExpenses,TMI Expenses,Property
ITSO_TarionWarrantyYN,Property: TarionWarrantyYN,Tarion Warranty YN,Property
ITSO_Timeshare,Property: Timeshare,Timeshare,Property
ITSO_TotalAreaUnits,Property: TotalAreaUnits,Total Area Units,Property
ITSO_TotalOperatingCosts,Property: TotalOperatingCosts,Total Operating Costs,Property
ITSO_TransactionType,TransactionType,Transaction Type,Property
ITSO_UFFI,Property: UFFI,UFFI,Property
ITSO_URL3D,Property: URL3D,URL 3 D,Property
ITSO_UnderContract,Property: UnderContract,Under Contract,Property
ITSO_UnderContractCostsMonthly,Property: UnderContractCostsMonthly,Under Contract Costs Monthly,Property
ITSO_UtilitiesExpense,Property: UtilitiesExpense,Utilities Expense,Property
ITSO_WaterMeterYN,Property: WaterMeterYN,Water Meter YN,Property
ITSO_WaterfrontAccessToProperty,Property: WaterfrontAccessToProperty,Waterfront Access To Property,Property
ITSO_WaterfrontFrontage,Property: WaterfrontFrontage,Waterfront Frontage,Property
ITSO_Watertreatment,Property: Watertreatment,Water Treatment,Property
ITSO_WellCapacity,Property: WellCapacity,Well Capacity,Property
ITSO_WellDepth,Property: WellDepth,Well Depth,Property
ITSO_WellTesting,Property: WellTesting,Well Testing,Property
ITSO_Winterized,Property: Winterized,Winterized,Property
ITSO_YearExpenses,Property: YearExpenses,Year Expenses,Property
ITSO_YearRoofReplaced,Property: YearRoofReplaced,Year Roof Replaced,Property
Inclusions,"InclusionRemarks, Inclusions",Portable elements of the property that will be included in the sale.,Property
IncomeIncludes,IncomeIncludes,"A list of income sources included in the GrossScheduledIncome and GrossIncome.  i.e. Laundry, Parking, Recreation, Storage, etc.",Property
InsuranceExpense,"BuildingInsuranceExpense, InsuranceExpense",The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.,Property
InteriorFeatures,"Inclusions, InteriorFeatures, Services",A list of features or description of the interior of the property included in the sale/lease.,Property
InternetAddressDisplayYN,InternetAddressDisplayYN,A yes/no field that states the seller has allowed the listing address to be displayed on Internet sites.,Property
InternetAutomatedValuationDisplayYN,InternetAutomatedValuationDisplayYN,A yes/no field that states the seller allows the listing can be displayed with an AVM on Internet sites.,Property
InternetConsumerCommentYN,InternetConsumerCommentYN,A yes/no field that states the seller allows a comment or blog system to be attached to the listing on Internet sites.,Property
InternetEntireListingDisplayYN,InternetEntireListingDisplayYN,A yes/no field that states the seller has allowed the listing to be displayed on Internet sites.,Property
LandLeaseAmount,LeasedLandFee,"When the land is not included in the sale, but is leased, the amount of the lease.  This is the Space Rent for Mobile homes in a Park.",Property
LandLeaseYN,"AcresRented, FarmFeatures, LeasedLandFee, OwnershipType",The land is not included in the sale and a lease exists.,Property
Latitude,Latitude,"The geographic latitude of some reference point on the property, specified in degrees and decimal parts.  Positive numbers must not include the plus symbol.",Property
LaundryFeatures,"LaundryFeatures, LaundryYN","Add this pick list of features and locations where the laundry is located in the property being sold.  i.e. Gas Dryer Hookup, In Kitchen, In Garage, etc.  CRMLS sees over 50% utilization of this field which has a dozen enumerations making it too long to fold into other fields such as rooms or Interior Features.",Property
LeaseAmountFrequency,LeaseAmountFrequency,"The frequency of the LeaseAmount is paid.  Monthly, weekly, annual, etc.",Property
LeaseRenewalOptionYN,LeaseTerm,Is there an option to renew the lease at the business' current location.,Property
LeaseTerm,LeaseTerm,"A pick list of lengths that represent the length of the lease.  i.e. Weekly, Month to Month, 6 Month Lease, 12 Month Lease, 24 Month Lease.",Property
Levels,Levels,"The number of levels in the property being sold.  For example, One Level, Two Levels, Split Level, Three or More Levels, Multi Level, Loft.    A discreet horizontal plane of interior living space (excluding basements).",Property
ListAOR,ListAOR,The responsible Board or Association of REALTORS for this listing.,Property
ListAgentAOR,ListAgentAOR,The Listing Agent's Board or Association of REALTORS.,Property
ListAgentCellPhone,ListAgentMobilePhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
ListAgentDesignation,AgentDesignation,Designations and certifications acknowledging experience and expertise in various real estate sectors are awarded by NAR and each affiliated group upon completion of required courses.,Property
ListAgentDirectPhone,ListAgentDirectPhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
ListAgentEmail,ListAgentEmail,The email address of the Listing Agent.,Property
ListAgentFullName,ListAgentFullName,The full name of the listing agent. (First Middle Last),Property
ListAgentKeyNumeric,ListAgentKeyNumeric,"A system unique identifier. Specifically, in aggregation systems, the ListAgentKey is the system unique identifier from the system that the record was retrieved. This may be identical to the related xxxId. This is a foreign key relating to the Member resource's MemberKey. This is the numeric only key and used as an alternative to the ListAgentKey field.",Property
ListAgentMlsId,ListAgentMlsId,"The local, well-known identifier for the member. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.",Property
ListAgentPreferredPhone,"ListAgentDirectPhone, ListAgentMobilePhone",North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
ListOfficeFax,ListOfficeFax,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
ListOfficeKeyNumeric,ListOfficeKeyNumeric,"A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Office resource's OfficeKey.  This is the numeric only key and used as an alternative to the ListOfficeKey field.",Property
ListOfficeMlsId,ListOfficeMlsId,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.",Property
ListOfficeName,ListOfficeName,The legal name of the brokerage representing the seller.,Property
ListOfficePhone,ListOfficePhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
ListOfficePhoneExt,ListOfficePhoneExt,The extension of the given phone number (if applicable).,Property
ListPrice,"LeasePrice, ListPrice",The current price of the property as determined by the seller and the seller's broker.  For auctions this is the minimum or reserve price.,Property
ListingAgreement,ListingAgreement,"The nature of the agreement between the seller and the listing agent.  Examples are Exclusive Agency, Open Listing, etc.",Property
ListingContractDate,ListingContractDate,"The effective date of the agreement between the seller and the seller's broker. This is the date entered by the agent reflecting when the change occurred contractually, not a timestamp of when the change was made in the MLS.",Property
ListingId,ListingId,"The well known identifier for the listing. The value may be identical to that of the Listing Key, but the Listing ID is intended to be the value used by a human to retrieve the information about a specific listing. In a multiple originating system or a merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.",Property
ListingKey,ListingKeyNumeric,"A unique identifier for this record from the immediate source. This is a string that can include URI or other forms.  Alternatively use the ListingKeyNumeric for a numeric only key field.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.",Property
ListingKeyNumeric,ListingKeyNumeric,"A unique identifier for this record from the immediate source. This is the numeric only key and used as an alternative to the ListingKey fields.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.",Property
ListingService,ListingService,"Defines the type or level of service the listing member will be providing to the selling home owner.  This will typically be a single selection.  Examples include Full Service, Limited Service or Entry Only.",Property
LivingArea,LivingArea,The total livable area within the structure.,Property
LivingAreaSource,LivingAreaSource,"The source of the measurements. This is a pick list of options showing the source of the measurement. i.e. Agent, Assessor, Estimate, etc.",Property
LivingAreaUnits,LivingAreaUnits,"A pick list of the unit of measurement for the area.  i.e. Square Feet, Square Meters, Acres, etc.",Property
Longitude,Longitude,"The geographic longitude of some reference point on the property, specified in degrees and decimal parts. Positive numbers must not include the plus symbol.",Property
LotFeatures,"ExteriorFeatures, FarmFeatures, FeaturesAreaInfluences, Location, LotShape",A list of features or description of the lot included in the sale/lease.,Property
LotSizeAcres,LotSizeAcres,The total Acres of the lot.  This field is related to the Lot Size Area and Lot Size Units and must be in sync with the values represented in those fields.  Lot Size Source also applies to this field when used.,Property
LotSizeArea,LotSizeArea,"The total area of the lot.  See Lot Size Units for the units of measurement (Square Feet, Square Meters, Acres, etc.).",Property
LotSizeDimensions,LotSizeDimensions,The dimensions of the lot minimally represented as length and width (i.e. 250 x 180) or a measurement of all sides of the polygon representing the property lines of the property.  i.e. 30 x 50 x 120 x 60 x 22.,Property
LotSizeSource,LotSizeSource,"The source of the measurements. This may be a pick list of options showing the source of the measurement. i.e. Agent, Assessor, Estimate, etc.",Property
LotSizeSquareFeet,LotSizeAcres,The total square footage of the lot.  This field is related to the Lot Size Area and Lot Size Units and must be in sync with the values represented in those fields.  Lot Size Source also applies to this field when used.,Property
LotSizeUnits,LotSizeUnits,"A pick list of the unit of measurement for the area.  i.e. Square Feet, Square Meters, Acres, etc.",Property
MLSAreaMajor,MLSAreaMajor,"The major marketing area name, as defined by the MLS or other non-governmental organization.  If there is only one MLS Area in use, it must be the MLSAreaMajor.",Property
MLSAreaMinor,MLSAreaMinor,"The minor/sub marketing area name, as defined by the MLS or other non-governmental organization.  If there is only one MLS Area in use, it must be the MLSAreaMajor.",Property
MainLevelBathrooms,BathsOnLevelMainCount,The number of bathrooms located on the main or entry level of the property.,Property
MainLevelBedrooms,BedsOnLevelMainCount,The number of bedrooms located on the main or entry level of the property.,Property
MajorChangeTimestamp,MajorChangeTimestamp,Timestamp of the last major change on the listing (see also MajorChangeType).,Property
MajorChangeType,MajorChangeType,"Description of the last major change on the listing, i.e. “price reduction”, “back on market”, etc.  May be used to display on a summary view of listing results to quickly identify listings that have had major changes recently.",Property
Media,,"An object containing media information such as id, url and type.",Property
MlsStatus,MlsStatus,Local or regional status that are well known by business users. Each MlsStatus must map to a single StandardStatus. Multiple MlsStatus may map to a single StandardStatus.,Property
ModificationTimestamp,ModificationTimestamp,The transactional timestamp automatically recorded by the MLS system representing the date/time the listing was last modified.,Property
NewConstructionYN,NewConstructionYN,Is the property newly constructed and has not been previously occupied?,Property
NewTaxesExpense,NewTaxExpense,The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.,Property
NumberOfBuildings,AuxiliaryBuildingCount,Total number of separate buildings included in the income property.,Property
NumberOfFullTimeEmployees,NumberOfFullTimeEmployees,The current number of individuals employed by the business on a full-time basis.,Property
NumberOfPartTimeEmployees,NumberOfPartTimeEmployees,The current number of individuals employed by the business on a part-time basis.,Property
NumberOfUnitsTotal,"NumberOfUnitsTotal, UnitCount","Total number of units included in the income property, occupied or unoccupied.",Property
OpenParkingSpaces,ParkingDrivewaySpacesTotal,The number of open or uncovered parking spaces included in the sale.,Property
OpenParkingYN,"ExteriorFeatures, ParkingDrivewaySpacesTotal, ParkingFeatures",A flag indicating that any parking spaces associated with the property are not covered by a roof.,Property
OtherEquipment,"FarmFeatures, Inclusions, InteriorFeatures",A list of other equipment that will be included in the sale of the property.,Property
OtherStructures,"BoatHouse, Bunkhouse, FarmFeatures, OtherStructures, OtherStructuresFarm","A list of structures other than the main dwelling.  For example, Guest House, Barn, Shed, etc.",Property
OwnerPays,OwnerPays,"A list of expenses for the property paid for by the owner as opposed to the tenant (e.g. Water, Trash, Electric).",Property
OwnershipType,OwnershipType,"Current type of ownership of the business being sold.  i.e. Corporation, LLC, Sole P, Partnership, etc.,",Property
ParcelNumber,ParcelNumber,A number used to uniquely identify a parcel or lot.  This number is typically issued by the county or county assessor.  The AP number format varies from county to county.  It is recommended that all Parcel Numbers be transmitted without dashes or hyphens.,Property
ParkingFeatures,"GarageType, GreenEnergyEfficient, Inclusions, ParkingFeatures",A list of features or description of the parking included in the sale/lease.,Property
ParkingTotal,ParkingTotal,The total number of parking spaces included in the sale.,Property
PastureArea,AcresPasture,Measurement or percentage of the property that has been allocated as pasture or grazing area.,Property
PatioAndPorchFeatures,"Balcony, ExteriorFeatures",A list of features or description of the patio or porch included in the sale/lease.,Property
PetsAllowed,PetsAllowed,"Are pets allowed at the property being leased?  A list of yes, no and more detailed restrictions/allowances.",Property
PhotosChangeTimestamp,PhotosChangeTimestamp,System generated timestamp of when the last update or change to the photos for this listing was made.,Property
PhotosCount,PhotosCount,The total number of pictures or photos included with the listing.,Property
PoolFeatures,PoolFeatures,A list of features or description of the pool included in the sale/lease.,Property
PostalCode,PostalCode,The postal code portion of a street or mailing address.,Property
PostalCodePlus4,PostalCodePlus4,The postal code +4 portion of a street or mailing address.,Property
PropertyAttachedYN,"AttachedYN, PropertyAttached","A flag indicating that the primary structure is attached to another structure that is not included in the sale.  i.e. one unit of a duplex. This flag may be T/F, Y/N or a list of attached or detached. As with all flags, the field may be null.  In some systems this information may be part of the Property Sub Type.",Property
PropertyCondition,"ApproximateAge, NewConstructionYN",A list describing the condition of the property and any structures included in the sale.,Property
PropertySubType,"BuildingType, PropertySubType","A list of types of residential and residential lease properties, i.e. SFR, Condo, etc. Or a list of Sub Types for Mobile, such as Expando, Manufactured, Modular, etc.",Property
PropertyType,PropertyType,"A list of types of properties such as Residential, Lease, Income, Land, Mobile, Commercial Sale, etc...",Property
PublicRemarks,PublicRemarks,"Text remarks that may be displayed to the public. In an MLS, it is the field where information is entered for the public. This information is intended to be visible on-line. This is typically information that describes the selling points of the building and/or land for sale. Local conditions and rules will determine what such content can contain. Generally, the following information is excluded: any information pertaining to entry to the property, the seller and/or tenant, listing member contact information. In other systems, these remarks will be determined by local business rules.",Property
RoadFrontageType,RoadAccess,"Pick list of types of Road frontage.  i.e. Freeway frontage, No Road Frontage, etc. The road frontage of the property is an important factor in determining value of the property and it’s appropriateness for intended use.",Property
RoadSurfaceType,RoadAccess,Pick list of types of surface of the Road to access the property.  The surface of the road(s) for access to the property is an important factor in determining value of the property and it’s appropriateness for intended use.,Property
Roof,Roof,"A list describing the type or style of roof.  For example Spanish Tile, Composite, Shake, etc.",Property
RoomKitchenLevel,"KitchenOnLevelBasementCount, KitchenOnLevelGroundCount, KitchenOnLevelLowerCount, KitchenOnLevelMainCount, KitchenOnLevelSecondCount, KitchenOnLevelThirdCount, KitchenOnLevelUpperCount","[type] This field is a repeating element for each type of room selected in the RoomType field. For every RoomType there are two possible implementations. For a flat implementation (RETS 1.x only), each RoomType used is expected to appear as the '[type]' in the related rooms field name. i.e. RoomKitchenLevel. A relational implementation of rooms must omit the type from the field name and use RoomType to create a vertical representation of the various rooms. i.e. RoomLevel with Kitchen in the relational table's RoomType field.",Property
RoomsTotal,"NumberOfRooms, RoomCount",The number of rooms in the dwelling.,Property
SeatingCapacity,SeatingCapacity,The seating capacity of the business being sold.,Property
SecurityFeatures,"ExteriorFeatures, Inclusions, SecurityFeatures",A list describing the security features included in the sale/lease.,Property
SeniorCommunityYN,RetirementCommunityYN,The community is a senior community.,Property
Sewer,Sewer,A list describing the sewer or septic features of the property.,Property
SpaFeatures,"ExteriorFeatures, Inclusions, InteriorFeatures",A list of features or description of the spa included in the sale/lease.,Property
SpaYN,"ExteriorFeatures, Inclusions, InteriorFeatures, PropertyType",The property has a spa.,Property
StandardStatus,StandardStatus,"The status of the listing as it reflects the state of the contract between the listing agent and seller or an agreement with a buyer (Active, Active Under Contract, Canceled, Closed, Expired, Pending, Withdrawn). This is a Single Select field.",Property
StateOrProvince,StateOrProvince,Text field containing the accepted postal abbreviation for the state or province.,Property
Stories,Stories,The number of floors in the property being sold.,Property
StoriesTotal,StoriesTotal,"The total number of floors in the building.  In the case of multi-dwelling structures, this is the entire structure and not the individual dwelling being sold.",Property
StreetDirSuffix,StreetDirSuffix,The direction indicator that follows a listed property's street address.,Property
StreetName,StreetName,The street name portion of a listed property's street address.,Property
StreetNumber,StreetNumber,"The street number portion of a listed property's street address.  In some areas the street number may contain non-numeric characters.  This field can also contain extensions and modifiers to the street number, such as '1/2' or '-B'.  This street number field should not include Prefixes, Direction or Suffixes.",Property
StreetSuffix,StreetSuffix,The suffix portion of a listed property's street address.,Property
StructureType,Type,The type of structure.,Property
TenantPays,TenantPays,A list of services or items that the tenant is responsible to pay.,Property
Topography,Topography,"The state of the surface of the land included with the property.  i.e. flat, rolling, etc.",Property
TrashExpense,TrashExpense,The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.,Property
UnitNumber,UnitNumber,"Text field containing the number or portion of a larger building or complex. Unit Number should appear following the street suffix or, if it exists, the street suffix direction, in the street address. Examples are: 'APT G', '55', etc.",Property
UnparsedAddress,"City, StateOrProvince, StreetDirPrefix, StreetDirSuffix, StreetName, StreetNumber, StreetNumberNumeric, StreetSuffix, UnitNumber","The UnparsedAddress is a text representation of the address with the full civic location as a single entity. It may optionally include any of City, StateOrProvince, PostalCode and Country.",Property
Utilities,"InteriorFeatures, Services, Utilities",A list of the utilities for the property being sold/leased.,Property
VacancyAllowance,VacancyAllowance,An estimate of the amount of rent that may be foregone because of unoccupied units.,Property
View,"FeaturesAreaInfluences, View",A view as seen from the listed property.,Property
ViewYN,"FeaturesAreaInfluences, Topography, View",The property has a view.,Property
VirtualTourURLBranded,"VirtualTourURL2Branded, VirtualTourURLBranded",A text field that holds the URL for a branded virtual tour of the property.,Property
VirtualTourURLUnbranded,"VirtualTourURL2Unbranded, VirtualTourURLUnbranded",A text field that holds the URL for an unbranded virtual tour of the property.,Property
WaterBodyName,"WaterBodyName, WaterbodyNameText","The name, if known, of the body of water on which the property is located. (E.g., lake name, river name, ocean name, sea name, canal name).",Property
WaterSource,WaterSource,A list of the source(s) of water for the property,Property
WaterfrontFeatures,"ExteriorFeatures, FeaturesAreaInfluences, WaterBodyType, Waterfront, WaterfrontExposure, WaterfrontFeatures, WaterfrontType",Features of the waterfront on which the property is located.,Property
WaterfrontYN,WaterFrontYN,The property is on the waterfront.,Property
WindowFeatures,"Inclusions, InteriorFeatures",A list of features or description of the windows included in the sale/lease.,Property
YearBuilt,"MobileHomeYear, YearBuilt","The year that an occupancy permit is first granted for the house or other local measure of initial habitability of the build. The type definition permits an empty value with an attribute noting that it is an unknown date or that the building is new construction. While constraints have not been applied, convention at the time of adoption has this as a four (4) digit year value.",Property
YearBuiltDetails,YearBuiltDetails,A description of the details behind the year the structure was built.,Property
YearBuiltSource,YearBuiltSource,"Add a list of sources of the year built.  i.e. Appraiser, Assessor, Builder, Estimated, etc.,",Property
Zoning,Zoning,A division of the city or county into areas of different permissible land uses. This Zone field should be used for the short code that is commonly used.  For full textual descriptions please use the ZoningDescription field.,Property
FeedTypes,,,Property
BridgeModificationTimestamp,,A timestamp representing when last this record was modified in the Bridge system.,Member
ITSO_AboutMe,Member: AboutMe,About Me,Member
ITSO_AboutMeSummary,Member: AboutMeSummary,About Me Summary,Member
ITSO_CREAProfileVideo,Member: CREAProfileVideo,CREA Profile Video,Member
Media,,"An object containing media information such as id, url and type.",Member
MemberAOR,MemberAOR,The Member's Primary Board or Association of REALTORS.,Member
MemberDesignation,MemberDesignation,Designations and certifications acknowledging experience and expertise in various real estate sectors are awarded by NAR and each affiliated group upon completion of required courses.,Member
MemberDirectPhone,MemberDirectPhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Member
MemberEmail,MemberEmail,The email address of the Member.,Member
MemberFax,MemberFax,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Member
MemberFirstName,MemberFirstName,The first name of the Member.,Member
MemberFullName,MemberFullName,The full name of the Member. (First Middle Last) or a alternate full name.,Member
MemberHomePhone,MemberHomePhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Member
MemberKey,MemberKeyNumeric,"A unique identifier for this record from the immediate source. This is a string that can include URI or other forms.  Alternatively use the MemberKeyNumeric for a numeric only key field.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemMemberKey and OriginatingSystemMemberKey.",Member
MemberKeyNumeric,MemberKeyNumeric,"A unique identifier for this record from the immediate source. This is the numeric only key and used as an alternative to the MemberKey fields.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemMemberKey and OriginatingSystemMemberKey.",Member
MemberLanguages,MemberLanguages,The languages the member speaks.,Member
MemberLastName,MemberLastName,The last name of the Member.,Member
MemberMiddleName,MemberMiddleName,The middle name of the Member.,Member
MemberMlsId,MemberMlsId,"The local, well-known identifier for the member. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.",Member
MemberMlsSecurityClass,MemberMlsSecurityClass,The MLS security group or class given to the member.,Member
MemberMobilePhone,MemberMobilePhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Member
MemberNamePrefix,MemberNamePrefix,Prefix to the name (e.g. Dr. Mr. Ms. etc.),Member
MemberNameSuffix,MemberNameSuffix,"Suffix to the surname (e.g. Esq.,  Jr.,  III etc.)",Member
MemberPager,MemberPager,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Member
MemberPreferredPhone,MemberPreferredPhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Member
MemberPreferredPhoneExt,MemberPreferredPhoneExt,The extension of the given phone number (if applicable).,Member
MemberType,MemberType,"The type of member.  i.e. Agent, Broker, Office Manager, Appraiser, Photographer, Assistants, MLO, Realtor, Association Staff, MLS Staff, etc.",Member
ModificationTimestamp,ModificationTimestamp,Date/time the roster (member or office) record was last modified.,Member
OfficeKeyNumeric,OfficeKeyNumeric,"A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set. This is a foreign key relating to the Office resource's OfficeKey.  This is the numeric only key and used as an alternative to the MemberAORkey field.",Member
OfficeMlsId,OfficeMlsId,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.",Member
OriginatingSystemName,OriginatingSystemName,The name of the Originating record provider.  Most commonly the name of the MLS. The place where the member is originally input by the member.  The legal name of the company.,Member
