"DD Field","Source Field","Field Description","Selected","Resource"
"ElementarySchoolDistrict","SchoolDistricts","The name of the elementary school district having a catchment area that includes the associated property.","Yes","Property"
"Elevation","","The elevation of the property in relation to sea level.  Use the Elevation Units field to communicate the unit of measurement.  i.e. Feet or Meters.","No","Property"
"ElevationUnits","","A pick list of the unit of measurement used in the Elevation field.  i.e. Feet, Meters.","No","Property"
"EntryLevel","","A numeric field that describes the level within the structure, SFR or a unit in a building, where the main entry to the dwelling is located.  When a unit has one floor it is implicit that this is also the level of the unit itself.","No","Property"
"EntryLocation","","A description of the main entry way to the property.  i.e. Elevator, Ground Level w/ Steps, Ground Level w/o Steps, Mid Level, Top Level, etc.","No","Property"
"Exclusions","Exclusions","Elements of the property that will not be included in the sale.  i.e. Chandeliers will be removed prior to close.","Yes","Property"
"ExistingLeaseType","FeaturesFarm, LeaseType","Information about the status of the existing lease on the property.  i.e. Net, NNN, NN, Gross, Absolute Net, Escalation Clause, Ground Lease, etc.","Yes","Property"
"ExpirationDate","ExpirationDate","The date when the listing agreement will expire.  This is the date entered by the agent reflecting when the change occurred, or will occur, contractually, not a timestamp of when the change was made in the MLS.  The expiration date of listings, prior to their expiration, cancellation, sale or lease, is confidential information and should be restricted to the agent and their managers, partners or broker.","No","Property"
"ExteriorFeatures","Balcony, OutsideStorageYN, PrivateEntranceYN","A list of features or description of the exterior of the property included in the sale/lease.","Yes","Property"
"FarmCreditServiceInclYN","","Specifies whether or not Farm Credit Service shares are included in the price of the property.","No","Property"
"FarmLandAreaSource","","The source of the measurements. This may be a pick list of options showing the source of the measurement. i.e. Agent, Assessor, Estimate, etc. This field applies to all farm area fields (Cultivated, Pasture, Range, Wooded)","No","Property"
"FarmLandAreaUnits","","A pick list of the unit of measurement for the area.  i.e. Square Feet, Square Meters, Acres, etc.  This field applies to all farm area fields (Cultivated, Pasture, Range, Wooded)","No","Property"
"Fencing","FeaturesFarm","A list of types of fencing found at the property being sold.","Yes","Property"
"FinancialDataSource","","The source of the Rental information. For example Accountant, Owner, etc.","No","Property"
"FireplaceFeatures","FireplaceStoveOperationalYN, FireplaceType","A list of features or description of the fireplace(s) included in the sale/lease.","Yes","Property"
"FireplaceYN","NumberFireplaces","Does the property include a fireplace.","Yes","Property"
"FireplacesTotal","NumberFireplaces","The total number of fireplaces included in the property.","Yes","Property"
"Flooring","FeaturesInterior","A list of the type(s) of flooring found within the property.","Yes","Property"
"FoundationArea","","The area or dimensions of the footprint of the structure on the lot.","No","Property"
"FoundationDetails","Foundation","A list of the type(s) of foundation on which the property sits.","Yes","Property"
"FrontageLength","LotFront","Textual description of the length of the frontages selected in the Frontage Type field.","Yes","Property"
"FrontageType","FeaturesAreaInfluences","Pick list of types of frontage. i.e. Oceanfront, Lakefront, Golf course, etc. Information about roads or road frontage should be located in the Road Frontage Type and Road Surface Type fields.","Yes","Property"
"FuelExpense","HeatExpenses","The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.","Yes","Property"
"Furnished","Furnished","The property being leased is furnished, unfurnished or partially furnished.","Yes","Property"
"FurnitureReplacementExpense","","The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.","No","Property"
"GarageSpaces","GarageSpaces, GarageSpacesNumber","The number of spaces in the garage(s).","Yes","Property"
"GarageYN","GarageSpaces","A flag indicating that the listing has a garage. This flag may be T/F, Y/N or other true, false or unknown indicator. As with all flags, the field may be null.","Yes","Property"
"GardenerExpense",,"The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.","No","Property"
"GardnerExpense","","The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.","No","Property"
"Gas","","A list of gas-service related features of the property (e.g. Natural Gas, Private LP Tank, None). Note: the previous ""Gas"" field was renamed to DistanceToGasComments","No","Property"
"GrazingPermitsBlmYN","","Specifies whether or not the property owner has grazing permits from the Bureau of Land Management.","No","Property"
"GrazingPermitsForestServiceYN","","Specifies whether or not the property owner has grazing permits from the Forestry Service.","No","Property"
"GrazingPermitsPrivateYN","","Specifies whether or not the property owner has private grazing permits.","No","Property"
"GreenBuildingVerificationType","EnergyCertificationLevel","The name of the verification or certification awarded to a new or pre-existing residential or commercial structure. For example: LEED, Energy Star, ICC-700.  In cases where more than one certification have been awarded, leverage multiple iterations of the green verification fields via the repeating element method.","Yes","Property"
"GreenEnergyEfficient","","Pick list of general green attributes such as energy efficient doors, or appliances without naming specific elements with ratings that may wane over time.","No","Property"
"GreenEnergyGeneration","FeaturesInterior","Methods of generating power that are included in the sale or lease.","Yes","Property"
"GreenIndoorAirQuality","","Pick list of indoor air quality measures without naming specific elements with ratings that may wane over time.","No","Property"
"GreenLocation","","Pick list describing efficiencies involved with the property's location such as walkability or transportation proximity without naming specific elements with ratings that may wane over time.","No","Property"
"GreenSustainability","","Pick list of sustainable elements used in the construction of the structure without naming specific elements with ratings that may wane over time.","No","Property"
"GreenWaterConservation","","Pick list of general water conserving attributes of the property such as landscaping or reclamation without naming specific elements with ratings that may wane over time.","No","Property"
"GrossIncome","GrossIncomeSales","The actual current income from rent and all other revenue generating sources.","Yes","Property"
"GrossScheduledIncome","","The maximum amount of annual rent collected if the property were 100% occupied all year and all tenants paid their rent.","No","Property"
"HabitableResidenceYN","","Does the property include a structure that can be lived in.","No","Property"
"Heating","HeatSource, HeatType","A list describing the heating features of the property.","Yes","Property"
"HeatingYN","HeatType","The property has heating.","Yes","Property"
"HighSchool","SecondarySchool","The name of the high school having a catchment area that includes the associated property.","Yes","Property"
"HighSchoolDistrict","SchoolDistricts","The name of the high school district having a catchment area that includes the associated property.  When only one school district is used, this field should be used over the Junior or Elementary Districts.","Yes","Property"
"HomeWarrantyYN","","Is a home warranty included in the sale of the property?  Single select.","No","Property"
"HorseAmenities","FeaturesFarm","A list of horse amenities on the lot or in the community.","Yes","Property"
"HorseYN","FarmType","The Property is allowed to raise horses.","Yes","Property"
"HoursDaysOfOperation","DaysOfWeekOpen","A simplified enumerated list of the days and hours of operation of the business being sold.  i.e. Open 24 Hours or Open 7 Days.  For more detailed descriptions use the HoursDaysofOperationDescription field.","Yes","Property"
"HoursDaysOfOperationDescription",,"A detailed description of the hours and days the business being sold is open for business.  For a specific list of simplified times the business is open, use the HoursDaysofOperation enumerated field.","No","Property"
"IDXParticipationYN","IDXOptInYN","Should this listing participate in IDX.","No","Property"
"Inclusions","Inclusions","Portable elements of the property that will be included in the sale.","Yes","Property"
"IncomeIncludes","LaundryIncome","A list of income sources included in the GrossScheduledIncome and GrossIncome.  i.e. Laundry, Parking, Recreation, Storage, etc.","Yes","Property"
"InsuranceExpense","InsuranceExpense","The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.","Yes","Property"
"InteriorFeatures","FeaturesInterior, Services","A list of features or description of the interior of the property included in the sale/lease.","Yes","Property"
"InternetAddressDisplayYN","DisplayAddressOnInternetYN","A yes/no field that states the seller has allowed the listing address to be displayed on Internet sites.","Yes","Property"
"InternetAutomatedValuationDisplayYN","","A yes/no field that states the seller allows the listing can be displayed with an AVM on Internet sites.","No","Property"
"InternetConsumerCommentYN","","A yes/no field that states the seller allows a comment or blog system to be attached to the listing on Internet sites.","No","Property"
"InternetEntireListingDisplayYN","DoNotSendYN","A yes/no field that states the seller has allowed the listing to be displayed on Internet sites.","Yes","Property"
"IrrigationSource","","The source which the property receives its water for irrigation.","No","Property"
"IrrigationWaterRightsAcres","","The number of acres allowed under the property's water rights.","No","Property"
"IrrigationWaterRightsYN","","Does the property include water rights for irrigation?  A Boolean or Yes / No field.","No","Property"
"LaborInformation","","Information about labor laws that are applicable to the business being sold. i.e. Union, Non-Union, Employee License Required.","No","Property"
"LandLeaseAmount","","When the land is not included in the sale, but is leased, the amount of the lease.  This is the Space Rent for Mobile homes in a Park.","No","Property"
"LandLeaseAmountFrequency","","When the land is not included in the sale, but is leased, the frequency the Land Lease Fee is paid.","No","Property"
"LandLeaseExpirationDate","","When the land is not included in the sale, but is leased, the expiration date of the Land Lease.","No","Property"
"LandLeaseYN","FeaturesFarm, ListPriceCode","The land is not included in the sale and a lease exists.","Yes","Property"
"Latitude","Latitude","The geographic latitude of some reference point on the property, specified in degrees and decimal parts.  Positive numbers must not include the plus symbol.","No","Property"
"LaundryFeatures","LaundryAccess, LaundryYN","Add this pick list of features and locations where the laundry is located in the property being sold.  i.e. Gas Dryer Hookup, In Kitchen, In Garage, etc.  CRMLS sees over 50% utilization of this field which has a dozen enumerations making it too long to fold into other fields such as rooms or Interior Features.","Yes","Property"
"LeasableArea","","The area that may be leased within the commercial property.","No","Property"
"LeasableAreaUnits","","A pick list of the unit of measurement for the area.  i.e. Square Feet, Square Meters, Acres, etc.","No","Property"
"LeaseAmount","","The amount of any lease the business pays for it's current location.","No","Property"
"LeaseAmountFrequency","","The frequency of the LeaseAmount is paid.  Monthly, weekly, annual, etc.","No","Property"
"LeaseAssignableYN","","Can the lease at the business' current location be assigned to another party.","No","Property"
"LeaseConsideredYN","","Will the seller consider leasing the property instead of selling?  Single select.","No","Property"
"LeaseExpiration","","The expiration date of the lease for the business' current location.","No","Property"
"LeaseRenewalCompensation","","A list of compensations other than the original Selling Office Compensation.  i.e. Compensation Paid on Renewal, Compensation Paid on Tennant Purchase, No Renewal Commission, Call Listing Office, etc.","No","Property"
"LeaseRenewalOptionYN","","Is there an option to renew the lease at the business' current location.","No","Property"
"LeaseTerm","","A pick list of lengths that represent the length of the lease.  i.e. Weekly, Month to Month, 6 Month Lease, 12 Month Lease, 24 Month Lease.","No","Property"
"Levels","Style","The number of levels in the property being sold.  For example, One Level, Two Levels, Split Level, Three or More Levels, Multi Level, Loft.    A discreet horizontal plane of interior living space (excluding basements).","Yes","Property"
"License1","","License number of the mobile or manufactured home.  Also known as the Department of Housing label/insignia number. For the first or only unit/section use License 1 over License 2 or 3.","No","Property"
"License2","","License number of the mobile or manufactured home.  Also known as the Department of Housing label/insignia number. For two units/sections use License 1 and 2 over License 3.","No","Property"
"License3","","License number of the mobile or manufactured home.  Also known as the Department of Housing label/insignia number. For two units/sections use License 1 and 2 over License 3.","No","Property"
"LicensesExpense","","The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.","No","Property"
"ListAOR","Board","The responsible Board or Association of REALTORS for this listing.","Yes","Property"
"ListAgentAOR","ListAgentBoard","The Listing Agent's Board or Association of REALTORS.","Yes","Property"
"ListAgentCellPhone","ListAgentCellPhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Property"
"ListAgentDesignation","","Designations and certifications acknowledging experience and expertise in various real estate sectors are awarded by NAR and each affiliated group upon completion of required courses.","No","Property"
"ListAgentDirectPhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"ListAgentEmail","ListAgentEmail","The email address of the Listing Agent.","Yes","Property"
"ListAgentFax","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"ListAgentFirstName","","The first name of the listing agent.","No","Property"
"ListAgentFullName","ListAgentFullName","The full name of the listing agent. (First Middle Last)","Yes","Property"
"ListAgentHomePhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"ListAgentKey","ListAgent_MUI","A system unique identifier. Specifically, in aggregation systems, the ListAgentKey is the system unique identifier from the system that the record was retrieved. This may be identical to the related xxxId. This is a foreign key relating to the Member resource's MemberKey.","Yes","Property"
"ListAgentKeyNumeric","ListAgent_MUI","A system unique identifier. Specifically, in aggregation systems, the ListAgentKey is the system unique identifier from the system that the record was retrieved. This may be identical to the related xxxId. This is a foreign key relating to the Member resource's MemberKey. This is the numeric only key and used as an alternative to the ListAgentKey field.","No","Property"
"ListAgentLastName","","The last name of the listing agent.","No","Property"
"ListAgentMiddleName","","The middle name of the listing agent.","No","Property"
"ListAgentMlsId","ListAgentMLSID","The local, well-known identifier for the member. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.","Yes","Property"
"ListAgentMobilePhone",,"North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions should use the common local standard. International numbers should be preceded by a plus symbol.","No","Property"
"ListAgentNamePrefix","","Prefix to the name (e.g. Dr. Mr. Ms. etc.)","No","Property"
"ListAgentNameSuffix","","Suffix to the ListAgentLastName (e.g. Esq.,  Jr.,  III etc.)","No","Property"
"ListAgentOfficePhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"ListAgentOfficePhoneExt","","The extension of the given phone number (if applicable).","No","Property"
"ListAgentPager","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"ListAgentPreferredPhone","ListAgentDirectWorkPhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Property"
"ListAgentPreferredPhoneExt","","The extension of the given phone number (if applicable).","No","Property"
"ListAgentStateLicense","","The license of the listing agent. Separate multiple licenses with a comma and space.","No","Property"
"ListAgentTollFreePhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"ListAgentURL","","The website URI of the listing agent.","No","Property"
"ListAgentVoiceMail","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"ListAgentVoiceMailExt","","The extension of the given phone number (if applicable).","No","Property"
"ListOfficeAOR","","The Listing Office's Board or Association of REALTORS.","No","Property"
"ListOfficeEmail","","The email address of the Listing Office.","No","Property"
"ListOfficeFax","ListOfficeFaxPhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Property"
"ListOfficeKey","ListOffice_MUI","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Office resource's OfficeKey.","Yes","Property"
"ListOfficeKeyNumeric","ListOffice_MUI","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Office resource's OfficeKey.  This is the numeric only key and used as an alternative to the ListOfficeKey field.","No","Property"
"ListOfficeMlsId","ListOfficeMLSID","The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.","Yes","Property"
"ListOfficeName","ListOfficeName","The legal name of the brokerage representing the seller.","Yes","Property"
"ListOfficePhone","ListOfficePhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Property"
"ListOfficePhoneExt","","The extension of the given phone number (if applicable).","No","Property"
"ListOfficeURL","","The website URI for the listing office.","No","Property"
"ListPrice","CurrentPrice, ListPrice","The current price of the property as determined by the seller and the seller's broker.  For auctions this is the minimum or reserve price.","Yes","Property"
"ListPriceLow","","The lower price used for Value Range Pricing.  The List Price must be greater than or equal to the ListPriceLow.","No","Property"
"ListTeamKey","ListTeamKey","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Teams resource's TeamKey.","No","Property"
"ListTeamKeyNumeric","ListTeamKeyNumeric","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Teams resource's TeamKey.  This is the numeric only key and used as an alternative to the ListTeamKey field.","No","Property"
"ListTeamName","ListTeamName","The name of the team representing the seller.","No","Property"
"ListingAgreement","","The nature of the agreement between the seller and the listing agent.  Examples are Exclusive Agency, Open Listing, etc.","No","Property"
"ListingContractDate","ListingContractDate","The effective date of the agreement between the seller and the seller's broker. This is the date entered by the agent reflecting when the change occurred contractually, not a timestamp of when the change was made in the MLS.","Yes","Property"
"ListingId","MLSNumber","The well known identifier for the listing. The value may be identical to that of the Listing Key, but the Listing ID is intended to be the value used by a human to retrieve the information about a specific listing. In a multiple originating system or a merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.","Yes","Property"
"ListingInputOriginalMedia",,"An object containing original Listing Input media information.","Yes","Property"
"ListingKey","Matrix_Unique_ID","A unique identifier for this record from the immediate source. This is a string that can include URI or other forms.  Alternatively use the ListingKeyNumeric for a numeric only key field.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.","Yes","Property"
"ListingKeyNumeric","Matrix_Unique_ID","A unique identifier for this record from the immediate source. This is the numeric only key and used as an alternative to the ListingKey fields.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.","No","Property"
"ListingService","","Defines the type or level of service the listing member will be providing to the selling home owner.  This will typically be a single selection.  Examples include Full Service, Limited Service or Entry Only.","No","Property"
"ListingTerms","","Terms of the listing such as Lien Release, Subject to Court Approval or Owner Will Carry. Also may include options that describe the financing terms that are acceptable to the seller, i.e. cash, assumable, FHA loan, etc.","No","Property"
"LivingArea","SqFtTotal","The total livable area within the structure.","Yes","Property"
"LivingAreaSource","SqftSource","The source of the measurements. This is a pick list of options showing the source of the measurement. i.e. Agent, Assessor, Estimate, etc.","Yes","Property"
"LivingAreaUnits","""Square Feet""","A pick list of the unit of measurement for the area.  i.e. Square Feet, Square Meters, Acres, etc.","Yes","Property"
"LockBoxLocation","","A field describing the location of the lock box.","No","Property"
"LockBoxSerialNumber","","The serial number of the lockbox placed on the property.","No","Property"
"LockBoxType","LockboxYN","A field describing the type of lock box.","Yes","Property"
"Longitude","Longitude","The geographic longitude of some reference point on the property, specified in degrees and decimal parts. Positive numbers must not include the plus symbol.","No","Property"
"LotDimensionsSource","","The source of the measurements. This may be a pick list of options showing the source of the measurement. i.e. Agent, Assessor, Estimate, etc.","No","Property"
"LotFeatures","FeaturesAreaInfluences, FeaturesFarm, Location, LotShape","A list of features or description of the lot included in the sale/lease.","Yes","Property"
"LotSizeAcres","AcresTotal, LotDepth, LotFront","The total Acres of the lot.  This field is related to the Lot Size Area and Lot Size Units and must be in sync with the values represented in those fields.  Lot Size Source also applies to this field when used.","Yes","Property"
"LotSizeArea","AcresTotal, LotDepth, LotFront","The total area of the lot.  See Lot Size Units for the units of measurement (Square Feet, Square Meters, Acres, etc.).","Yes","Property"
"LotSizeDimensions","LotDepth, LotFront","The dimensions of the lot minimally represented as length and width (i.e. 250 x 180) or a measurement of all sides of the polygon representing the property lines of the property.  i.e. 30 x 50 x 120 x 60 x 22.","Yes","Property"
"LotSizeSource","","The source of the measurements. This may be a pick list of options showing the source of the measurement. i.e. Agent, Assessor, Estimate, etc.","No","Property"
"LotSizeSquareFeet","AcresTotal, LotDepth, LotFront","The total square footage of the lot.  This field is related to the Lot Size Area and Lot Size Units and must be in sync with the values represented in those fields.  Lot Size Source also applies to this field when used.","Yes","Property"
"LotSizeUnits","AcresTotal, LotDepth, LotFront","A pick list of the unit of measurement for the area.  i.e. Square Feet, Square Meters, Acres, etc.","Yes","Property"
"MLSAreaMajor","Neighbourhood","The major marketing area name, as defined by the MLS or other non-governmental organization.  If there is only one MLS Area in use, it must be the MLSAreaMajor.","Yes","Property"
"MLSAreaMinor","","The minor/sub marketing area name, as defined by the MLS or other non-governmental organization.  If there is only one MLS Area in use, it must be the MLSAreaMajor.","No","Property"
"MainLevelBathrooms","","The number of bathrooms located on the main or entry level of the property.","No","Property"
"MainLevelBedrooms","","The number of bedrooms located on the main or entry level of the property.","No","Property"
"MaintenanceExpense","MaintenanceAmount","The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.","Yes","Property"
"MajorChangeTimestamp","LastChangeTimestamp","Timestamp of the last major change on the listing (see also MajorChangeType).","Yes","Property"
"MajorChangeType","LastChangeType","Description of the last major change on the listing, i.e. “price reduction”, “back on market”, etc.  May be used to display on a summary view of listing results to quickly identify listings that have had major changes recently.","Yes","Property"
"Make","","Make of the mobile or manufactured home.","No","Property"
"MaloneId",,"The malone ID associated with a property listing, given its address information.","No","Property"
"ManagerExpense","","The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.  This is for an individual manager.  Use ProfessionalManagementExpense for a management company.","No","Property"
"MapCoordinate","","A map coordinate for the property, as determined by local custom. This is not necessarily the same as the geographic coordinate but may depend on the coordinate system used by whatever mapping service is customarily used by the listing service.","No","Property"
"MapCoordinateSource","","Name of the map or map book publisher.","No","Property"
"MapURL","","URI to a map of the property.","No","Property"
"Media",,"An object containing media information such as id, url and type.","Yes","Property"
"MiddleOrJuniorSchool","SecondarySchool","The name of the junior or middle school having a catchment area that includes the associated property.","Yes","Property"
"MiddleOrJuniorSchoolDistrict","SchoolDistricts","The name of the junior or middle school district having a catchment area that includes the associated property.","Yes","Property"
"MlsStatus","Status","Local or regional status that are well known by business users. Each MlsStatus must map to a single StandardStatus. Multiple MlsStatus may map to a single StandardStatus.","Yes","Property"
"MobileDimUnits","","A pick list of the unit linear measurement.  i.e. feed, meters, yards, kilometers, miles, etc.","No","Property"
"MobileHomeRemainsYN","","Is the mobile home to remain and be included in the sale of the property.","No","Property"
"MobileLength","","Length of the mobile/manufactured home.","No","Property"
"MobileWidth","","Width of the mobile/manufactured home.","No","Property"
"Model","","Model of the mobile or manufactured home.","No","Property"
"ModificationTimestamp","MatrixModifiedDT","The transactional timestamp automatically recorded by the MLS system representing the date/time the listing was last modified.","Yes","Property"
"NetOperatingIncome","NetOperatingIncome","Net operating income is the revenue from a property after operating expenses have been deducted, but before deducting income taxes and financing expenses (interest and Principal Payments).   For example, Gross Income - Operating Expenses = Net Operating Income (NOI).","Yes","Property"
"NewConstructionYN","ApproximateAge","Is the property newly constructed and has not been previously occupied?","Yes","Property"
"NewTaxesExpense","TaxesExpense","The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.","Yes","Property"
"NumberOfBuildings","","Total number of separate buildings included in the income property.","No","Property"
"NumberOfFullTimeEmployees","EmployeesFullTime","The current number of individuals employed by the business on a full-time basis.","Yes","Property"
"NumberOfLots","","Total number of lots on the property or included in the sale. Land properties are often sold with multiple lots. It is important to be able to describe how many lots are in the property and not in all cases do lots have separate Parcel IDs.","No","Property"
"NumberOfPads","","The number of pads or spaces in the mobile home park.","No","Property"
"NumberOfPartTimeEmployees","EmployeesPartTime","The current number of individuals employed by the business on a part-time basis.","Yes","Property"
"NumberOfSeparateElectricMeters","","Total number of separate meters on the property.","No","Property"
"NumberOfSeparateGasMeters","","Total number of separate meters on the property.","No","Property"
"NumberOfSeparateWaterMeters","","Total number of separate meters on the property.","No","Property"
"NumberOfUnitsInCommunity","UnitCount","The total number of units in the building, complex or community.  This is not the number of units being sold, but rather the size of the community in which the dwelling being sold is located.","Yes","Property"
"NumberOfUnitsLeased","","Total number of units currently under a lease agreement.","No","Property"
"NumberOfUnitsMoMo","","The total number of units leasable month to month.","No","Property"
"NumberOfUnitsTotal","NumberTotalUnits","Total number of units included in the income property, occupied or unoccupied.","Yes","Property"
"NumberOfUnitsVacant","","The number of units currently vacant.","No","Property"
"OccupantName","","Name of the current occupant, if any, of the property being sold.","No","Property"
"OccupantPhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"OccupantType","Occupancy","A field that describes the type of occupant, i.e. Owner, Tenant, Vacant.","Yes","Property"
"OffMarketDate","OffMarketDate","The date the listing was taken off market. Where possible, this date is reflective of the date entered by the agent reflecting when the change occurred contractually, not a timestamp of when the change was made in the MLS.","Yes","Property"
"OffMarketTimestamp","OffMarketDate","The transactional timestamp automatically recorded by the MLS system representing the most recent date/time the listing's status was set to and off market status (not Active or Backup)","Yes","Property"
"OnMarketDate","","The date the listing was placed on market. Where possible, this date is reflective of the date entered by the agent reflecting when the change occurred contractually, not a timestamp of when the change was made in the MLS.","No","Property"
"OnMarketTimestamp","","The transactional timestamp automatically recorded by the MLS system representing the most recent date/time the listing's status was set to Active or Backup.  This also includes initial input of the listing to Active/Backup or from a draft or approval status to Active/Backup.","No","Property"
"OpenParkingSpaces","DrivewaySpacesNumber","The number of open or uncovered parking spaces included in the sale.","Yes","Property"
"OpenParkingYN","Drive, GarageAndParking","A flag indicating that any parking spaces associated with the property are not covered by a roof.","Yes","Property"
"OperatingExpense","OperatingExpenses, TotalOperatingExpense","The costs associated with the operation and maintenance of an income-producing property.","Yes","Property"
"OperatingExpenseIncludes","","When individual expense fields are not used and only a total is entered, this lists the expenses that are included in the OperatingExpense field.","No","Property"
"OriginalEntryTimestamp","","The transactional timestamp automatically recorded by the MLS system representing the date/time the listing was entered and made visible to members of the MLS.","No","Property"
"OriginalListPrice","OriginalListPrice","The original price of the property on the initial agreement between the seller and the seller's broker.","Yes","Property"
"OriginatingSystemID","","The RESO OUID's OrganizationUniqueId of the Originating record provider.  The Originating system is the system with authoritative control over the record.  For example; the name of the MLS where the listing was input.  In cases where the Originating system was not where the record originated (the authoritative system), see the Originating System fields.","No","Property"
"OriginatingSystemKey","","The system key, a unique record identifier, from the Originating system.  The Originating system is the system with authoritative control over the record.  For example, the Multiple Listing Service where the listing was input.  There may be cases where the Source System (how you received the record) is not the Originating System.  See Source System Key for more information.","No","Property"
"OriginatingSystemName","MLS","The name of the Originating record provider.  Most commonly the name of the MLS. The place where the listing is originally input by the member.  The legal name of the company.","Yes","Property"
"OtherEquipment","CraneYN, FeaturesFarm, FeaturesInterior","A list of other equipment that will be included in the sale of the property.","Yes","Property"
"OtherExpense","OtherExpense","The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.","Yes","Property"
"OtherParking","","Other types of parking available to, or part of, the property.","No","Property"
"OtherStructures","OtherStructures, OtherStructuresFarm","A list of structures other than the main dwelling.  For example, Guest House, Barn, Shed, etc.","Yes","Property"
"OwnerName","SellerName","Name of the owner of the property being sold.","No","Property"
"OwnerPays","","A list of expenses for the property paid for by the owner as opposed to the tenant (e.g. Water, Trash, Electric).","No","Property"
"OwnerPhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"Ownership","OwnershipType","A text description of the manner in which title to a property is held.  Trust, Corporation, Joint Tennant, Individual.","Yes","Property"
"OwnershipType","","Current type of ownership of the business being sold.  i.e. Corporation, LLC, Sole P, Partnership, etc.,","No","Property"
"ParcelNumber","ParcelNumber","A number used to uniquely identify a parcel or lot.  This number is typically issued by the county or county assessor.  The AP number format varies from county to county.  It is recommended that all Parcel Numbers be transmitted without dashes or hyphens.","Yes","Property"
"ParkManagerName","","Name of the manager of the mobile home park.","No","Property"
"ParkManagerPhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Property"
"ParkName","","Name of the mobile home park or corporate/commercial park.","No","Property"
"ParkingFeatures","CondoAmenities, Drive, FeaturesInterior, GarageAndParking","A list of features or description of the parking included in the sale/lease.","Yes","Property"
